Quarter	d0	d1	d2	d3	d4	d5	d6	d7	d8	d9	d10	d11	dgeq12
01-82	24	8	5	0	4	2	0	2	0	0	0	0	4
02-82	36	4	1	0	3	1	1	0	1	0	0	0	1
03-82	59	11	7	1	2	1	1	0	0	0	0	0	1
04-82	52	10	6	1	2	0	1	0	0	0	0	0	1
01-83	67	25	7	7	1	1	0	1	0	2	0	0	0
02-83	97	23	9	0	1	1	1	2	0	1	0	1	0
03-83	80	24	5	3	3	2	1	1	0	0	0	1	2
04-83	94	26	9	8	4	0	2	0	0	1	2	0	2
01-84	119	41	9	4	8	2	3	2	0	1	0	0	1
02-84	140	51	16	12	3	5	1	3	1	1	0	1	0
03-84	149	51	26	16	10	6	3	0	1	0	0	0	3
04-84	159	36	20	14	9	1	4	2	2	1	1	3	2
01-85	188	70	36	22	11	6	2	3	1	0	0	0	NA
02-85	215	61	26	19	15	3	4	4	1	0	1	NA	NA
03-85	206	58	36	23	9	7	2	6	0	4	NA	NA	NA
04-85	216	68	23	21	10	5	2	6	3	NA	NA	NA	NA
01-86	294	71	27	10	13	5	5	6	NA	NA	NA	NA	NA
02-86	313	60	29	15	10	9	7	NA	NA	NA	NA	NA	NA
03-86	345	53	35	18	10	6	NA	NA	NA	NA	NA	NA	NA
04-86	353	64	32	17	14	NA	NA	NA	NA	NA	NA	NA	NA
01-87	317	80	54	13	NA	NA	NA	NA	NA	NA	NA	NA	NA
02-87	217	165	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
03-87	244	138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
