date,cases,deaths,hospitalized,icu,A15-A34,A35-A59,A60-A79,A00-A04,A05-A14,A80+
2020-03-01,0,0,1,0,0,0,0,0,0,0
2020-03-02,0,0,2,0,0,0,0,0,0,0
2020-03-03,6,0,4,0,3,2,1,0,0,0
2020-03-04,3,0,4,0,3,0,0,0,0,0
2020-03-06,5,0,4,0,0,4,0,0,0,1
2020-03-07,1,0,4,0,0,1,0,0,0,0
2020-03-08,11,0,4,0,9,2,0,0,0,0
2020-03-10,34,0,4,0,19,14,1,0,0,0
2020-03-11,42,0,5,0,19,16,3,3,1,0
2020-03-13,59,0,8,0,25,29,3,0,2,0
2020-03-14,29,0,15,0,7,16,4,2,0,0
2020-03-15,26,0,16,0,7,16,3,0,0,0
2020-03-16,63,0,20,3,22,33,5,0,1,2
2020-03-17,93,0,21,4,36,44,6,0,6,1
2020-03-18,146,0,28,9,45,77,14,3,4,3
2020-03-19,180,0,43,15,62,87,23,0,6,2
2020-03-20,170,0,44,18,70,69,12,1,18,0
2020-03-21,128,0,39,14,48,57,17,2,2,2
2020-03-22,68,0,41,20,21,37,7,2,0,1
2020-03-23,159,1,47,22,70,59,16,0,8,6
2020-03-24,199,1,112,26,66,91,30,1,6,5
2020-03-25,245,1,208,38,93,112,33,1,2,4
2020-03-26,286,4,235,46,112,116,41,2,2,13
2020-03-27,205,0,261,53,69,82,38,4,3,9
2020-03-28,197,1,300,64,79,77,28,3,7,3
2020-03-29,87,2,312,70,18,49,14,1,1,4
2020-03-30,167,2,381,84,48,71,30,3,3,12
2020-03-31,213,2,380,92,60,97,34,6,3,13
2020-04-01,187,2,479,104,58,68,39,2,10,10
2020-04-02,238,3,458,116,71,106,39,6,5,11
2020-04-03,239,2,473,124,54,85,47,2,6,45
2020-04-04,108,2,502,127,30,47,19,2,4,6
2020-04-05,78,2,507,126,27,30,16,0,2,3
2020-04-06,144,2,527,133,45,52,28,3,5,11
2020-04-07,202,4,505,118,64,78,28,5,1,26
2020-04-08,178,5,546,126,50,76,20,0,3,29
2020-04-09,176,5,559,136,42,64,36,4,6,24
2020-04-10,82,4,615,143,19,30,16,1,4,12
2020-04-11,87,4,601,139,30,36,8,2,0,11
2020-04-12,54,1,566,133,18,18,10,0,2,6
2020-04-13,59,5,568,141,17,17,12,1,3,9
2020-04-14,74,6,582,137,23,28,11,1,4,7
2020-04-15,113,12,599,128,33,47,21,1,2,9
2020-04-16,94,10,602,142,26,46,10,0,2,10
2020-04-17,120,7,585,146,30,39,21,1,3,26
2020-04-18,82,1,592,153,19,39,12,1,4,7
2020-04-19,33,2,567,156,8,14,7,0,1,3
2020-04-20,45,3,567,156,13,19,8,0,0,5
2020-04-21,76,8,596,164,22,33,10,1,1,9
2020-04-22,81,8,596,164,17,28,15,2,8,11
2020-04-23,87,8,565,152,27,31,12,2,5,10
2020-04-24,73,1,523,154,20,27,15,0,6,5
2020-04-25,55,10,524,156,8,14,14,1,0,18
2020-04-26,21,2,546,160,8,1,7,1,0,4
2020-04-27,56,2,542,152,11,21,15,0,0,9
2020-04-28,79,10,540,158,20,26,18,1,0,14
2020-04-29,68,10,604,157,11,29,18,0,4,6
2020-04-30,57,2,566,162,14,21,15,0,1,6
2020-05-01,25,3,527,160,5,11,7,0,2,0
2020-05-02,31,2,541,159,5,13,6,1,0,6
2020-05-03,32,0,511,152,13,6,6,2,3,2
2020-05-04,52,0,484,145,17,15,8,2,3,7
2020-05-05,53,5,476,144,13,17,12,1,1,9
2020-05-06,58,3,495,141,18,19,14,1,1,5
2020-05-07,58,1,508,152,15,25,8,3,0,7
2020-05-08,4,1,467,150,2,0,2,0,0,0
2020-05-09,17,1,469,142,8,5,0,1,0,3
2020-05-10,8,0,486,151,2,4,1,0,0,1
2020-05-11,17,0,447,135,7,4,1,0,0,5
2020-05-12,37,5,412,131,11,10,8,2,3,3
2020-05-13,58,3,352,123,13,27,7,4,6,1
2020-05-14,45,4,282,103,16,16,8,0,1,4
2020-05-15,16,4,259,93,8,5,2,0,0,1
2020-05-16,16,0,231,92,7,9,0,0,0,0
2020-05-17,8,-1,229,87,3,3,1,0,1,0
2020-05-18,33,2,211,71,5,11,6,1,6,4
2020-05-19,46,4,194,67,12,20,2,1,2,9
2020-05-20,48,0,185,66,15,15,10,1,5,2
2020-05-21,10,4,172,62,2,4,1,0,2,1
2020-05-22,36,0,167,59,18,11,4,0,1,2
2020-05-23,8,1,166,58,3,4,0,0,0,1
2020-05-24,3,0,177,60,0,2,1,0,0,0
2020-05-25,22,0,177,60,7,8,2,2,0,3
2020-05-26,22,2,164,58,8,6,7,0,1,0
2020-05-27,42,2,171,56,19,12,5,0,4,2
2020-05-28,25,1,146,47,7,11,3,1,3,0
2020-05-29,30,1,148,40,7,16,3,0,2,2
2020-05-30,23,1,150,43,7,9,2,0,5,0
2020-05-31,27,0,144,41,10,6,3,2,6,0
2020-06-01,2,0,138,40,1,1,0,0,0,0
2020-06-02,41,0,130,42,16,14,4,3,1,3
2020-06-03,55,2,117,43,19,18,4,2,10,2
2020-06-04,32,0,123,46,12,10,0,6,3,1
2020-06-05,35,1,139,45,14,13,1,0,6,1
2020-06-06,16,4,132,47,4,4,2,1,4,1
2020-06-07,8,0,129,42,3,2,2,0,1,0
2020-06-08,29,0,135,44,12,10,3,3,1,0
2020-06-09,57,1,132,42,17,20,3,6,11,0
2020-06-10,80,2,127,41,26,25,5,9,10,5
2020-06-11,50,0,124,42,15,11,4,4,13,3
2020-06-12,42,0,126,42,19,9,1,5,5,3
2020-06-13,68,0,126,42,21,10,6,6,22,3
2020-06-14,12,0,130,42,2,6,2,0,1,1
2020-06-15,31,0,136,43,9,11,3,2,4,2
2020-06-16,75,1,141,42,26,21,6,4,16,2
2020-06-17,85,1,151,46,27,22,5,11,16,4
2020-06-18,128,1,138,45,49,41,4,15,14,5
2020-06-19,137,0,142,45,48,40,9,10,24,6
2020-06-20,34,0,140,42,12,11,2,1,8,0
2020-06-21,20,0,146,42,8,1,1,3,7,0
2020-06-22,63,0,146,42,15,27,5,3,13,0
2020-06-23,70,0,130,39,24,30,3,6,5,2
2020-06-24,57,1,120,35,18,24,2,6,5,2
2020-06-25,61,0,135,34,16,17,11,5,9,3
2020-06-26,43,1,128,32,12,16,1,4,9,1
2020-06-27,17,0,121,31,8,4,1,2,2,0
2020-06-28,2,0,121,30,1,1,0,0,0,0
2020-06-29,53,1,123,31,20,16,8,2,5,2
2020-06-30,35,0,106,33,11,14,5,2,0,3
2020-07-01,46,0,129,35,17,18,4,0,0,7
2020-07-02,57,0,121,26,25,21,3,1,7,0
2020-07-03,41,0,111,22,17,19,0,2,3,0
2020-07-04,31,1,122,31,16,9,1,4,1,0
2020-07-05,2,0,118,30,0,2,0,0,0,0
2020-07-06,33,0,116,30,6,14,3,4,3,3
2020-07-07,37,0,109,31,15,12,4,2,4,0
2020-07-08,46,1,87,29,15,16,3,2,10,0
2020-07-09,34,0,69,28,14,14,2,1,3,0
